time,IRL,VDS,VAC,Unnamed: 4
0.0,5.015e-12,5.0,0.0,
1e-05,-3.54933e-09,5.0,0.000207345,
2e-05,-3.562e-09,5.0,0.00041469,
4e-05,-3.56222e-09,5.0,0.00082938,
8e-05,-3.56213e-09,5.0,0.00165876,
0.00016,-3.5626e-09,5.0,0.00331752,
0.00032,-3.56289e-09,5.0,0.00663504,
0.00064,-3.57023e-09,5.0,0.0132701,
0.00128,-3.57815e-09,5.0,0.0265399,
0.00228,-3.59104e-09,5.0,0.0472731,
0.00328,-3.60344e-09,5.0,0.0680044,
0.00428,-3.61624e-09,5.0,0.088733,
0.00528,-3.62856e-09,5.0,0.109458,
0.00628,-3.64128e-09,5.0,0.130179,
0.00728,-3.6535e-09,5.0,0.150895,
0.00828,-3.66613e-09,5.0,0.171604,
0.00928,-3.67827e-09,5.0,0.192307,
0.01028,-3.6908e-09,5.0,0.213003,
0.01128,-3.70284e-09,5.0,0.23369,
0.01228,-3.71527e-09,5.0,0.254367,
0.01328,-3.72721e-09,5.0,0.275035,
0.01428,-3.73954e-09,5.0,0.295692,
0.01528,-3.75138e-09,5.0,0.316337,
0.01628,-3.7636e-09,5.0,0.336969,
0.01728,-3.77533e-09,5.0,0.357589,
0.01828,-3.78744e-09,5.0,0.378194,
0.01928,-3.79906e-09,5.0,0.398784,
0.02028,-3.81106e-09,5.0,0.419359,
0.02128,-3.82255e-09,5.0,0.439917,
0.02228,-3.83443e-09,5.0,0.460458,
0.02328,-3.8458e-09,5.0,0.48098,
0.02428,-3.85754e-09,5.0,0.501483,
0.02528,-3.86878e-09,5.0,0.521967,
0.02628,-3.88038e-09,5.0,0.54243,
0.02728,-3.89147e-09,5.0,0.562872,
0.02828,-3.90292e-09,5.0,0.583291,
0.02928,-3.91384e-09,5.0,0.603688,
0.03028,-3.9251e-09,5.0,0.62406,
0.03128,-3.93581e-09,5.0,0.644408,
0.03228,-3.94681e-09,5.0,0.664731,
0.03328,-3.9572e-09,5.0,0.685027,
0.03428,-3.96781e-09,5.0,0.705296,
