Model,MDO3012
Firmware Version,1.26

Waveform Type,ANALOG,,,Waveform Type,ANALOG
Point Format,Y,,,Point Format,Y
Horizontal Units,s,,,Horizontal Units,s
Horizontal Scale,1e-07,,,Horizontal Scale,1e-07
Horizontal Delay,3.196e-07,,,Horizontal Delay,3.196e-07
Sample Interval,4e-10,,,Sample Interval,4e-10
Record Length,10000,,,Record Length,10000
Gating,0.0% to 100.0%,,,Gating,0.0% to 100.0%
Probe Attenuation,10,1,,Probe Attenuation,1
Vertical Units,V,V,,Vertical Units,VV
Vertical Offset,0,0,,Vertical Offset,0
Vertical Scale,2,2,,Vertical Scale,10
Vertical Position,0,0,,Vertical Position,0
,,,,,
,,,,,
,,,,,
Label,,,,Label,
TIME,CH1,CH2,,TIME,"MATH<CH1*CH2>"
-1.6804e-06,0.16,4,,-1.6804e-06,0.959375
-1.6800e-06,0.16,4,,-1.6800e-06,0.996875
-1.6796e-06,0.16,4.08,,-1.6796e-06,0.639063
-1.6792e-06,0.24,4.08,,-1.6792e-06,0.651563
-1.6788e-06,0.24,4.08,,-1.6788e-06,0.959375
-1.6784e-06,0.24,4.08,,-1.6784e-06,0.978125
-1.6780e-06,0.16,4.08,,-1.6780e-06,0.651563
-1.6776e-06,0.16,4.08,,-1.6776e-06,0.996875
-1.6772e-06,0.08,4.08,,-1.6772e-06,0.978125
-1.6768e-06,0.08,4.16,,-1.6768e-06,0.651563
-1.6764e-06,0.16,4.08,,-1.6764e-06,0.639063
-1.6760e-06,0.16,4.16,,-1.6760e-06,0.978125
-1.6756e-06,0.16,4.08,,-1.6756e-06,0.651563
-1.6752e-06,0.16,4.08,,-1.6752e-06,0.651563
-1.6748e-06,0.08,4.08,,-1.6748e-06,0.651563
-1.6744e-06,0.16,4.16,,-1.6744e-06,0.33125
-1.6740e-06,0.16,4.08,,-1.6740e-06,0.325
-1.6736e-06,0.16,4.08,,-1.6736e-06,0.325
-1.6732e-06,0.16,4.16,,-1.6732e-06,0
-1.6728e-06,0.08,4,,-1.6728e-06,0.651563
-1.6724e-06,0.16,4.08,,-1.6724e-06,0.31875
-1.6720e-06,0.16,4.08,,-1.6720e-06,0.651563
-1.6716e-06,0.16,4.08,,-1.6716e-06,0.651563
-1.6712e-06,0.16,4.08,,-1.6712e-06,0.639063
-1.6708e-06,0.16,4.08,,-1.6708e-06,0.978125
-1.6704e-06,0.08,4.08,,-1.6704e-06,0.978125
-1.6700e-06,0.16,4.08,,-1.6700e-06,0.959375
-1.6696e-06,0.08,4,,-1.6696e-06,0.651563
-1.6692e-06,0.16,4.08,,-1.6692e-06,0.978125
-1.6688e-06,0.16,4,,-1.6688e-06,0.996875
-1.6684e-06,0.16,4.08,,-1.6684e-06,0.978125
-1.6680e-06,0.16,4.08,,-1.6680e-06,0.651563
-1.6676e-06,0.24,4,,-1.6676e-06,0.651563
-1.6672e-06,0.08,4.08,,-1.6672e-06,0.651563
-1.6668e-06,0.16,4,,-1.6668e-06,0.651563
-1.6664e-06,0.16,4,,-1.6664e-06,0.664062
-1.6660e-06,0.16,4.08,,-1.6660e-06,0.978125
-1.6656e-06,0.08,4.08,,-1.6656e-06,0.664062
